seed,dataset,target,model,selector,apparent_r2,apparent_r2_std,nested_r2,bias,apparent_rmse,apparent_rmse_std,nested_rmse,nested_rmse_std,bias_rmse,apparent_r2_pooled,apparent_rmse_pooled,nested_rmse_pooled,bias_pooled
10,deep_patato,chlorophyll,pls,ga,0.7672888294412754,0.09277344396408999,0.3999708101562205,0.3673180192850549,3.103752593864946,0.3183005101604054,5.128269795361076,0.6623970152427269,2.02451720149613,0.7986933893670785,3.1412320464856216,5.125907700435883,0.39872257921085796
11,deep_patato,chlorophyll,pls,ga,0.7635862278946755,0.08782475479919113,0.4538695940212392,0.30971663387343623,3.1454549427594753,0.319371051966846,4.956717190513283,0.6704153351476754,1.8112622477538074,0.7932511059961597,3.1834101638509353,4.949421734196335,0.33938151197492045
0,deep_patato,chlorophyll,pls,lasso,0.7049556090226436,0.07587093026436031,0.47671337754074783,0.22824223148189582,3.6029994559045235,0.35106910419739135,4.830139128549679,0.5696936198991818,1.2271396726451558,0.737001098104118,3.590442439052524,4.8301023145468385,0.26028772056337013
1,deep_patato,chlorophyll,pls,lasso,0.7049556090226436,0.07587093026436031,0.47671337754074783,0.22824223148189582,3.6029994559045235,0.35106910419739135,4.830139128549679,0.5696936198991818,1.2271396726451558,0.737001098104118,3.590442439052524,4.8301023145468385,0.26028772056337013
2,deep_patato,chlorophyll,pls,lasso,0.7049556090226436,0.07587093026436031,0.47671337754074783,0.22824223148189582,3.6029994559045235,0.35106910419739135,4.830139128549679,0.5696936198991818,1.2271396726451558,0.737001098104118,3.590442439052524,4.8301023145468385,0.26028772056337013
3,deep_patato,chlorophyll,pls,lasso,0.7049556090226436,0.07587093026436031,0.47671337754074783,0.22824223148189582,3.6029994559045235,0.35106910419739135,4.830139128549679,0.5696936198991818,1.2271396726451558,0.737001098104118,3.590442439052524,4.8301023145468385,0.26028772056337013
4,deep_patato,chlorophyll,pls,lasso,0.7049556090226436,0.07587093026436031,0.47671337754074783,0.22824223148189582,3.6029994559045235,0.35106910419739135,4.830139128549679,0.5696936198991818,1.2271396726451558,0.737001098104118,3.590442439052524,4.8301023145468385,0.26028772056337013
5,deep_patato,chlorophyll,pls,lasso,0.7049556090226436,0.07587093026436031,0.47671337754074783,0.22824223148189582,3.6029994559045235,0.35106910419739135,4.830139128549679,0.5696936198991818,1.2271396726451558,0.737001098104118,3.590442439052524,4.8301023145468385,0.26028772056337013
6,deep_patato,chlorophyll,pls,lasso,0.7049556090226436,0.07587093026436031,0.47671337754074783,0.22824223148189582,3.6029994559045235,0.35106910419739135,4.830139128549679,0.5696936198991818,1.2271396726451558,0.737001098104118,3.590442439052524,4.8301023145468385,0.26028772056337013
7,deep_patato,chlorophyll,pls,lasso,0.7049556090226436,0.07587093026436031,0.47671337754074783,0.22824223148189582,3.6029994559045235,0.35106910419739135,4.830139128549679,0.5696936198991818,1.2271396726451558,0.737001098104118,3.590442439052524,4.8301023145468385,0.26028772056337013
